Site,Date,Transect,Direction,Distance,Unoccupied,Occupied
BFG,8/4/19,1,N,0,80,20
BFG,8/4/19,1,E,0,88,12
BFG,8/4/19,1,S,0,86,14
BFG,8/4/19,1,W,0,14,86
BFG,8/4/19,1,N,10,0,100
BFG,8/4/19,1,E,10,6,94
BFG,8/4/19,1,S,10,85,15
BFG,8/4/19,1,W,10,82,18
BFG,8/4/19,1,N,20,100,0
BFG,8/4/19,1,E,20,93,7
BFG,8/4/19,1,S,20,91,9
BFG,8/4/19,1,W,20,94,6
BFG,8/4/19,2,N,0,92,8
BFG,8/4/19,2,E,0,82,18
BFG,8/4/19,2,S,0,28,72
BFG,8/4/19,2,W,0,10,90
BFG,8/4/19,2,N,10,20,80
BFG,8/4/19,2,E,10,87,13
BFG,8/4/19,2,S,10,90,10
BFG,8/4/19,2,W,10,28,72
BFG,8/4/19,2,N,20,97,3
BFG,8/4/19,2,E,20,95,5
BFG,8/4/19,2,S,20,83,17
BFG,8/4/19,2,W,20,89,11
BFG,8/4/19,3,N,0,46,54
BFG,8/4/19,3,S,0,17,83
BFG,8/4/19,3,E,0,94,6
BFG,8/4/19,3,W,0,84,16
BFG,8/4/19,3,N,10,75,25
BFG,8/4/19,3,S,10,57,43
BFG,8/4/19,3,E,10,92,8
BFG,8/4/19,3,W,10,84,16
BFG,8/4/19,3,N,20,69,31
BFG,8/4/19,3,S,20,91,9
BFG,8/4/19,3,E,20,62,38
BFG,8/4/19,3,W,20,85,15
,,,,,,
