site,date,transect,location ,count
WWS,8/9/19,1,0,4
WWS,8/9/19,1,2,1
WWS,8/9/19,1,4,6
WWS,8/9/19,1,6,1
WWS,8/9/19,1,8,3
WWS,8/9/19,1,10,1
WWS,8/9/19,1,12,3
WWS,8/9/19,1,14,0
WWS,8/9/19,1,16,2
WWS,8/9/19,1,18,8
WWS,8/9/19,1,20,3
WWS,8/9/19,1,22,2
WWS,8/9/19,1,24,5
WWS,8/9/19,1,26,3
WWS,8/9/19,1,28,5
WWS,8/9/19,1,30,2
WWS,8/9/19,1,32,1
WWS,8/9/19,1,34,3
WWS,8/9/19,1,36,2
WWS,8/9/19,1,38,3
WWS,8/9/19,1,40,1
WWS,8/9/19,1,42,3
WWS,8/9/19,1,44,4
WWS,8/9/19,1,46,6
WWS,8/9/19,1,48,4
WWS,8/9/19,1,50,4
WWS,8/9/19,1,52,3
WWS,8/9/19,1,54,2
WWS,8/9/19,1,56,7
WWS,8/9/19,1,58,4
WWS,8/9/19,1,60,8
WWS,8/9/19,1,62,3
WWS,8/9/19,1,64,7
WWS,8/9/19,1,66,7
WWS,8/9/19,1,68,3
WWS,8/9/19,1,70,1
WWS,8/9/19,1,72,1
WWS,8/9/19,1,74,3
WWS,8/9/19,1,76,5
WWS,8/9/19,1,78,2
WWS,8/9/19,1,80,1
WWS,8/9/19,1,82,1
WWS,8/9/19,1,84,0
WWS,8/9/19,1,86,2
WWS,8/9/19,1,88,2
WWS,8/9/19,1,90,3
WWS,8/9/19,1,92,2
WWS,8/9/19,1,94,2
WWS,8/9/19,1,96,2
WWS,8/9/19,1,98,4
