site,date,transect,location ,direction,diameter,height
WWS,8/9/19,1,7.78,n,42.5,36
WWS,8/9/19,1,9.8,n,25.8,9
WWS,8/9/19,1,13.17,n,53.7,11
WWS,8/9/19,1,13.52,n,42.2,11
WWS,8/9/19,1,17.12,n,20.1,14
WWS,8/9/19,1,18.12,n,13.2,11
WWS,8/9/19,1,25.45,n,35.1,18
WWS,8/9/19,1,44.7,n,22,25
WWS,8/9/19,1,45.6,n,41.9,13
WWS,8/9/19,1,61.42,n,29.2,23
WWS,8/9/19,1,63.04,n,20,21
WWS,8/9/19,1,66.54,n,21,15
WWS,8/9/19,1,71.56,n,23,9
WWS,8/9/19,1,79.28,n,25,25
WWS,8/9/19,1,88.79,n,18,12
WWS,8/9/19,1,7.78,s,,17
WWS,8/9/19,1,9.8,s,,19
WWS,8/9/19,1,13.17,s,,8
WWS,8/9/19,1,13.52,s,,9
WWS,8/9/19,1,17.12,s,,22
WWS,8/9/19,1,18.12,s,,14
WWS,8/9/19,1,25.45,s,,31
WWS,8/9/19,1,44.7,s,,12
WWS,8/9/19,1,45.6,s,,16
WWS,8/9/19,1,61.42,s,,19
WWS,8/9/19,1,63.04,s,,11
WWS,8/9/19,1,66.54,s,,12
WWS,8/9/19,1,71.56,s,,4
WWS,8/9/19,1,79.28,s,,12
WWS,8/9/19,1,88.79,s,,24
WWS,8/9/19,1,7.78,e,56,32
WWS,8/9/19,1,9.8,e,22.4,2
WWS,8/9/19,1,13.17,e,39,7
WWS,8/9/19,1,13.52,e,34.2,10
WWS,8/9/19,1,17.12,e,34,15
WWS,8/9/19,1,18.12,e,14.1,19
WWS,8/9/19,1,25.45,e,37.1,15
WWS,8/9/19,1,44.7,e,1.4,27
WWS,8/9/19,1,45.6,e,39.7,16
WWS,8/9/19,1,61.42,e,30.9,17
WWS,8/9/19,1,63.04,e,16.2,11
WWS,8/9/19,1,66.54,e,20.6,18
WWS,8/9/19,1,71.56,e,25.8,11
WWS,8/9/19,1,79.28,e,35.1,21
WWS,8/9/19,1,88.79,e,34.5,32
WWS,8/9/19,1,7.78,w,,22
WWS,8/9/19,1,9.8,w,,33
WWS,8/9/19,1,13.17,w,,9
WWS,8/9/19,1,13.52,w,,11
WWS,8/9/19,1,17.12,w,,16
WWS,8/9/19,1,18.12,w,,21
WWS,8/9/19,1,25.45,w,,20
WWS,8/9/19,1,44.7,w,,13
WWS,8/9/19,1,45.6,w,,18
WWS,8/9/19,1,61.42,w,,22
WWS,8/9/19,1,63.04,w,,11
WWS,8/9/19,1,66.54,w,,15
WWS,8/9/19,1,71.56,w,,23
WWS,8/9/19,1,79.28,w,,29
WWS,8/9/19,1,88.79,w,,14
